# Guia de carreras universitarias (SIU), https://guiadecarreras.siu.edu.ar/ciie_ofertas/2.0/guia_grado.php , filtro provincia = Tucuman, nivel posgrado. Consultado el 2026-09-08 con un navegador automatizado. La primera fila de datos repite el encabezado tal como lo muestra la tabla.
universidad,facultad,titulo,tipo_de_titulo,duracion,condiciones_de_ingreso,domicilio,telefono,web,mail
"Universidad Nacional de Tucumán","Facultad de Arquitectura y Urbanismo","Doctor en Arquitectura","Doctorado","2 Años","Entrevista de Admisión","Av. Roca 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/fauunt/","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Arquitectura y Urbanismo","Especialista en Arquitectura Sustentable","Especialización","2 Años","Entrevista de Admisión","Av. Roca 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/fauunt/","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Arquitectura y Urbanismo","Especialista en Gestión Integral del Proyecto Arquitectónico","Especialización","2 Años","Entrevista de Admisión","Av. Roca 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/fauunt/","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Artes","Especialista en Historia Cultural de Tucumán","Especialización","1 Años","Entrevista de Admisión","Bolivar 700 - San Miguel De Tucuman - Tucumán","(0381) 4525050","www.unt.edu.ar/fartes","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Artes","Magister en Museología","Maestría","3 Años","Consulte con la Institución","Bolivar 700 - San Miguel De Tucuman - Tucumán","(0381) 4525050","www.unt.edu.ar/fartes","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Bioquímica, Química y Farmacia","Doctor/a en Alimentos, Orientación en Ciencia","Doctorado","6 Años","Entrevista de Admisión","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar/facbioq","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Bioquímica, Química y Farmacia","Doctor/a en Alimentos, Orientación en Ingeniería","Doctorado","6 Años","Entrevista de Admisión","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar/facbioq","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Bioquímica, Química y Farmacia","Doctor/a en Biotecnología","Doctorado","6 Años","Entrevista de Admisión","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar/facbioq","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Bioquímica, Química y Farmacia","Doctor en Bioquímica","Doctorado","6 Años","Entrevista de Admisión","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar/facbioq","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Bioquímica, Química y Farmacia","Doctor en Ciencias Biológicas","Doctorado","6 Años","Entrevista de Admisión","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar/facbioq","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Bioquímica, Química y Farmacia","Doctor en Ciencias Químicas","Doctorado","6 Años","Entrevista de Admisión","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar/facbioq","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Bioquímica, Química y Farmacia","Doctor en Farmacia","Doctorado","6 Años","Entrevista de Admisión","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar/facbioq","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Bioquímica, Química y Farmacia","Especialista en Bioquímica Clínica","Especialización","39 Meses","Entrevista de Admisión","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar/facbioq","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Bioquímica, Química y Farmacia","Especialista en Bioquímica Clínica - Área Hematología","Especialización","3 Años","Entrevista de Admisión","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar/facbioq","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Bioquímica, Química y Farmacia","Especialista en Esterilización","Especialización","4 Años","Entrevista de Admisión","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar/facbioq","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Doctor en Ciencias Económicas: Mención Economía Política","Doctorado","4 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Doctor en Ciencias Económicas: Mención en Administración","Doctorado","4 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Doctor en Ciencias Económicas: Mención Estadística","Doctorado","4 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Especialista en Administración y Políticas Públicas","Especialización","1.5 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Especialista en Auditoría y Contabilidad","Especialización","2 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Especialista en Comercio Internacional","Especialización","2 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Especialista en Costos y Gestión Empresarial","Especialización","2 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Especialista en Dirección de Recursos Humanos","Especialización","2 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Especialista en Finanzas","Especialización","2 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Especialista en Sindicatura Concursal","Especialización","2 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Especialista en Tributación","Especialización","2 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Magister en Administración","Maestría","4 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Magíster en Economía. Área: Políticas Económicas y Sociales","Maestría","3 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Económicas","Magister en Estadística Aplicada","Maestría","4 Años","Entrevista de Admisión","Av Independencia 1900 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.face.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Doctor/a en Alimentos, Orientación en Ciencia","Doctorado","6 Años","Consulte con la Institución","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Doctor/a en Alimentos, Orientación en Ingeniería","Doctorado","6 Años","Consulte con la Institución","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Doctor/a en Ciencias y Tecnologías de la Luz","Doctorado","6 Años","Entrevista de Admisión","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Doctor en Ciencias Biológicas","Doctorado","6 Años","Entrevista de Admisión","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Doctor en Ciencias Exactas e Ingeniería","Doctorado","2 Años","Entrevista de Admisión","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Doctor en Ingeniería","Doctorado","18 Meses","Entrevista de Admisión","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Doctor en Ingeniería Industrial","Doctorado","4 Años","Consulte con la Institución","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Especialista en Gestión Industrial","Especialización","18 Meses","Consulte con la Institución","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Especialista en Integración de Tecnologías Informáticas","Especialización","2 Años","Consulte con la Institución","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Especialista en Medio Ambiente Visual e Iluminación Eficiente","Especialización","4 Años","Entrevista de Admisión","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Magíster en Electrónica - MD","Maestría","2 Años","Consulte con la Institución","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Magíster en Gestión de la Tecnología y la Innovación","Maestría","2 Años","Consulte con la Institución","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Magister en Ingeniería Estructural","Maestría","4 Años","Entrevista de Admisión","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Magíster en Ingeniería Geotécnica","Maestría","4 Semestres","Consulte con la Institución","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Magister en Luminotecnia","Maestría","24 Meses","Consulte con la Institución","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Magister en Matemáticas","Maestría","16 Meses","Entrevista de Admisión","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Magister en Métodos Numéricos y Computacionales en Ingeniería","Maestría","24 Meses","Entrevista de Admisión","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Exactas y Tecnología","Magister en Proyectos de Ingeniería","Maestría","12 Meses","Consulte con la Institución","Av. Independencia 1800 - San Miguel De Tucuman - Tucumán","(0381) 4364093","www.herrera.unt.edu.ar/facet","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Naturales e Instituto Miguel Lillo","Doctor en Arqueología","Doctorado","4 Años","Entrevista de Admisión","Miguel Lillo 209 - San Miguel De Tucuman - Tucumán","(0381) 4239456","www.csnat.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Naturales e Instituto Miguel Lillo","Doctor en Ciencias Biológicas","Doctorado","4 Años","Entrevista de Admisión","Miguel Lillo 209 - San Miguel De Tucuman - Tucumán","(0381) 4239456","www.csnat.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Naturales e Instituto Miguel Lillo","Doctor en Geología","Doctorado","4 Años","Entrevista de Admisión","Miguel Lillo 209 - San Miguel De Tucuman - Tucumán","(0381) 4239456","www.csnat.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Naturales e Instituto Miguel Lillo","Doctor en Riesgos Naturales y Estudios Geológicos de Campo","Doctorado","4 Años","Consulte con la Institución","Miguel Lillo 209 - San Miguel De Tucuman - Tucumán","(0381) 4239456","www.csnat.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Naturales e Instituto Miguel Lillo","Magister en Entomología","Maestría","2 Años","Entrevista de Admisión","Miguel Lillo 209 - San Miguel De Tucuman - Tucumán","(0381) 4239456","www.csnat.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Naturales e Instituto Miguel Lillo","Magister en Gestión Ambiental","Maestría","2 Años","Consulte con la Institución","Miguel Lillo 209 - San Miguel De Tucuman - Tucumán","(0381) 4239456","www.csnat.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Ciencias Naturales e Instituto Miguel Lillo","Magister en Museología","Maestría","3 Años","Consulte con la Institución","Miguel Lillo 209 - San Miguel De Tucuman - Tucumán","(0381) 4239456","www.csnat.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Derecho y Ciencias Sociales","Doctor en Derecho","Doctorado","6 Años","Consulte con la Institución","25 de Mayo 471 - San Miguel De Tucuman - Tucumán","(0381) 4300153","www.derecho.unt.edu.ar","secretaria.academica@derecho.unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Derecho y Ciencias Sociales","Especialista en Derecho Administrativo","Especialización","2 Años","Entrevista de Admisión","25 de Mayo 471 - San Miguel De Tucuman - Tucumán","(0381) 4300153","www.derecho.unt.edu.ar","secretaria.academica@derecho.unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Derecho y Ciencias Sociales","Especialista en Derecho de Daños","Especialización","2 Años","Entrevista de Admisión","25 de Mayo 471 - San Miguel De Tucuman - Tucumán","(0381) 4300153","www.derecho.unt.edu.ar","secretaria.academica@derecho.unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Derecho y Ciencias Sociales","Especialista en Derecho Penal","Especialización","2 Años","Entrevista de Admisión","25 de Mayo 471 - San Miguel De Tucuman - Tucumán","(0381) 4300153","www.derecho.unt.edu.ar","secretaria.academica@derecho.unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Derecho y Ciencias Sociales","Especialista en Derecho Procesal con Orientación Civil o Penal","Especialización","2 Años","Entrevista de Admisión","25 de Mayo 471 - San Miguel De Tucuman - Tucumán","(0381) 4300153","www.derecho.unt.edu.ar","secretaria.academica@derecho.unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Derecho y Ciencias Sociales","Magíster en Derecho Administrativo y Administración Pública","Maestría","2 Años","Entrevista de Admisión","25 de Mayo 471 - San Miguel De Tucuman - Tucumán","(0381) 4300153","www.derecho.unt.edu.ar","secretaria.academica@derecho.unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Educación Física","Magíster en Educación Física para la Salud","Maestría","24 Meses","Consulte con la Institución","Av. Benjamin Araoz 751 - San Miguel De Tucuman - Tucumán","(0381) 484-7372","www.facdef.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Filosofía y Letras","Doctor/a en Estudios Sociales y Políticos Regionales","Doctorado","4 Años","Consulte con la Institución","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4222146","www.filo.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Filosofía y Letras","Doctor en Ciencias Sociales con Orientación en Geografía","Doctorado","4 Años","Consulte con la Institución","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4222146","www.filo.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Filosofía y Letras","Doctor en Ciencias Sociales con Orientación en Historia","Doctorado","4 Años","Consulte con la Institución","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4222146","www.filo.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Filosofía y Letras","Doctor en Educación","Doctorado","4 Años","Consulte con la Institución","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4222146","www.filo.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Filosofía y Letras","Doctor en Humanidades","Doctorado","4 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4222146","www.filo.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Filosofía y Letras","Doctor en Letras","Doctorado","4 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4222146","www.filo.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Filosofía y Letras","Especialista en Culturas del Noroeste Argentino","Especialización","24 Meses","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4222146","www.filo.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Filosofía y Letras","Especialista en Estudios de Mujeres y de Géneros","Especialización","24 Meses","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4222146","www.filo.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Filosofía y Letras","Especialista en la Enseñanza del Español como Lengua Extranjera","Especialización","30 Meses","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4222146","www.filo.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Filosofía y Letras","Magíster en Argumentación y Retórica","Maestría","24 Meses","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4222146","www.filo.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Medicina","Doctor en Ciencias Biológicas","Doctorado","4 Años","Entrevista de Admisión","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Medicina","Especialista en Anatomía Patológica","Especialización","4 Años","Consulte con la Institución","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Medicina","Especialista en Anestesiología","Especialización","4 Años","Consulte con la Institución","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Medicina","Especialista en Auditoría de Servicios de Salud","Especialización","2 Años","Entrevista de Admisión","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Medicina","Especialista en Cardiología","Especialización","4 Años","Entrevista de Admisión","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
